date,day_of_the_week,meal_type,staff_member_id
2026-09-02 15:37:18,6,Lunch,5
2024-05-29 13:57:03,8,Lunch,174
2025-04-12 16:37:14,5,Dinner,110
2027-08-23 15:54:34,3,breakfast,6
2026-05-01 20:58:24,6,Lunch,192
2024-12-12 01:56:18,8,Lunch,122
2025-10-15 22:31:40,7,Lunch,189
2026-10-17 21:36:42,9,Lunch,151
2024-06-24 03:50:16,3,Lunch,72
2024-11-26 02:01:16,5,Lunch,200
2026-12-18 04:02:08,4,Dinner,78
2026-10-03 21:36:26,7,breakfast,82
2026-03-09 19:11:03,8,Lunch,151
2026-12-24 09:55:17,5,Dinner,151
2024-07-16 07:28:16,7,Dinner,119
2026-10-13 19:10:07,4,Lunch,97
2024-05-25 11:18:25,3,Lunch,20
2025-06-10 09:25:46,2,Lunch,87
2024-12-18 21:02:16,9,Lunch,57
2027-10-18 23:22:10,8,Dinner,197
2025-06-01 19:25:22,4,Dinner,33
2026-08-12 06:51:01,2,breakfast,92
2026-01-20 00:46:26,8,Lunch,140
2027-05-20 20:14:27,10,Dinner,138
2026-11-21 20:17:06,2,breakfast,84
2026-11-01 10:45:15,9,breakfast,9
2025-12-10 07:05:05,10,Lunch,43
2026-06-19 10:58:21,1,Lunch,8
2024-07-11 02:03:07,4,breakfast,148
2024-11-09 03:35:35,3,breakfast,118
2025-03-20 07:58:10,8,Dinner,154
2025-02-05 01:57:35,4,Dinner,59
2026-12-18 17:13:27,10,Lunch,141
2027-03-24 00:01:29,4,breakfast,109
2026-12-16 12:21:39,1,Lunch,45
2027-07-16 00:22:34,6,Dinner,196
2025-04-22 15:08:54,2,Lunch,175
2027-03-21 02:19:52,6,Dinner,125
2025-02-27 23:37:52,3,Lunch,124
2026-10-14 02:02:56,4,Lunch,50
2025-10-24 20:15:04,4,Dinner,20
2025-06-22 09:02:22,6,breakfast,87
2026-02-07 00:06:28,8,Dinner,7
2024-04-10 11:58:38,10,Dinner,139
2024-06-11 18:42:49,4,Lunch,3
2025-01-19 12:09:20,4,Dinner,77
2024-08-13 00:58:34,10,Dinner,85
2024-07-05 03:39:25,3,breakfast,115
2027-08-26 16:27:18,10,breakfast,104
2026-11-23 21:10:37,1,Lunch,111
2027-06-11 04:56:56,1,breakfast,60
2026-06-25 14:09:50,10,Dinner,153
2025-08-17 16:42:11,5,Dinner,65
2026-08-31 23:05:53,2,Dinner,164
2025-09-16 22:28:55,9,breakfast,63
