request_id,room_id,staff_member_id,item_id,req_description,req_status
1,10,605,540,Turn finish put if identify.,received
2,865,625,155,Various fear speech trade whom they avoid.,processed
3,122,134,341,Within part apply office.,taken care of
4,377,351,241,Back official it despite.,taken care of
5,387,660,707,So pressure success test land Mr live.,processed
6,760,395,788,Visit include foreign before build where training.,taken care of
7,691,665,942,Product position it executive task record painting.,received
8,113,290,465,Yeah apply between especially challenge reveal out evidence.,taken care of
9,966,85,144,Performance down floor mission know no.,processed
10,335,568,308,American go political test.,received
11,632,974,449,Give film ahead us night be.,processed
12,141,371,342,Second nation return claim dinner budget.,processed
13,458,281,686,Realize instead history partner animal.,taken care of
14,401,771,975,Hear subject goal value them impact.,received
15,995,971,12,Head create degree as result peace.,received
16,802,34,78,Station everyone key maintain hope military.,taken care of
17,617,79,385,Low trade before office poor gas.,taken care of
18,525,566,979,Quickly line fear.,processed
19,688,843,482,Economy share can reason.,processed
20,892,211,121,Education worker activity brother kind.,received
21,436,947,703,Them career owner beyond third memory.,received
22,257,57,989,What question out catch today.,processed
23,713,282,855,Win play step glass throughout speak join.,received
24,104,927,692,Evidence us special technology indicate reflect even.,taken care of
25,757,398,718,Policy guess determine cup member drug.,taken care of
26,993,174,829,Foreign team energy important.,taken care of
27,133,271,983,Road training financial want because Democrat eye.,processed
28,715,490,905,Record work spend almost.,received
29,408,136,539,Law fine dinner but value.,received
30,528,422,291,Author just include property hot generation sister.,taken care of
31,959,140,782,Management address prepare usually owner.,taken care of
32,895,81,943,Truth of grow kind kid.,processed
33,818,24,923,Cell talk worry security federal.,processed
34,319,499,693,Through someone girl test hair water perform.,received
35,783,553,870,Under baby can big and.,processed
36,609,123,128,Next likely idea water.,received
37,188,79,292,Plan system student agreement such.,taken care of
38,137,566,68,Certain Congress line huge point factor see.,taken care of
39,827,968,748,Kind try well.,taken care of
40,118,826,494,Cell positive believe dream practice.,received
41,687,746,49,Myself accept minute soldier eye federal.,taken care of
42,55,171,82,Fall if hope lead language.,taken care of
43,242,615,465,Role show sign thus office run.,processed
44,997,659,763,Lead as cost environmental writer discussion.,taken care of
45,839,436,941,Speech president step network feeling drop me son.,received
46,203,747,950,Can fine off.,taken care of
47,771,716,302,Though way morning media.,received
48,713,98,72,Test charge call threat.,processed
49,894,51,309,Former space no spend.,received
50,998,194,1,Model standard store catch.,processed
51,911,980,442,Seem action heavy mission talk.,taken care of
52,953,192,582,Sister leave among off sure long hand.,received
53,93,760,433,Medical heart affect.,taken care of
54,351,244,368,Boy join usually performance present including.,taken care of
55,200,263,480,Interesting process arrive cost.,processed
56,940,587,948,Floor after right phone difference perhaps final.,processed
57,472,963,705,Including entire piece recently push.,taken care of
58,971,290,136,Relationship seek hotel already.,processed
59,271,665,369,Great think glass force case.,processed
60,772,443,94,Treatment particular everybody training surface sport.,processed
61,394,206,85,My same value appear ago.,processed
62,83,811,634,Seem sort day relationship keep medical politics.,received
63,438,852,173,In know walk girl.,processed
64,556,948,445,Trouble citizen protect medical act national.,processed
65,536,733,552,Modern church since hundred mission.,processed
66,290,284,372,Once effect edge.,taken care of
67,125,453,246,Star attorney question forward.,processed
68,591,770,186,Everyone dream shoulder.,received
69,962,187,937,Boy big while media media imagine hard.,processed
70,593,179,189,Week there positive ever.,taken care of
71,389,30,430,Article main clear out within table series.,taken care of
72,926,330,582,Time to art thing soldier source.,received
73,549,100,429,Interest between particularly.,processed
74,93,464,623,Student able culture specific sign.,received
75,605,51,5,Push will accept civil ball world capital.,taken care of
76,899,921,940,Resource allow investment school nearly describe.,processed
77,587,230,872,May always source.,processed
78,737,786,405,Sometimes discover star difficult though.,received
79,233,828,758,Dog particularly prepare that assume happen woman.,received
80,131,948,711,Start strong yeah green debate.,received
81,907,376,68,During notice tonight interview message think unit sign.,received
82,931,654,292,Long guy then mind reach put return teacher.,received
83,990,297,969,Imagine treatment what cut begin democratic third.,processed
84,896,763,960,Deal send quality include sometimes.,received
85,967,897,365,Risk somebody lead though base election moment.,taken care of
86,180,954,317,Road present buy movie camera.,processed
87,498,85,779,Woman child carry relationship believe.,received
88,405,896,511,Assume my range much style argue.,taken care of
89,132,129,283,Offer experience company for.,taken care of
90,745,224,567,Sit then structure scene upon everybody pattern day.,received
91,189,508,648,Sure sure physical knowledge design beautiful sea.,taken care of
92,190,118,920,Site wonder east same.,processed
93,75,470,111,Think partner pick issue cultural per.,processed
94,876,981,690,Stage up herself old white part spend.,processed
95,429,997,544,Majority program radio rule finish.,received
96,8,2,231,Fill official rise suggest worker.,taken care of
97,455,960,121,Art heart international.,received
98,223,901,888,Standard point assume wait.,processed
99,682,639,332,I tax down direction particular.,received
100,831,654,850,Must while minute mission not.,processed
101,525,989,843,Learn some clear need set give because.,taken care of
102,483,882,101,Art forget modern style great information.,received
103,436,554,522,Audience poor from yard fall old source.,taken care of
104,862,453,627,Here degree say understand visit doctor sometimes.,received
105,343,405,951,Measure nothing career interview run doctor.,received
106,996,802,889,Above third effort ask security.,processed
107,957,297,118,Office safe note almost cost civil scientist.,processed
108,445,274,710,Attention sign price ground drug.,taken care of
109,154,248,181,Teach deep economic debate cell return.,received
110,929,788,884,Development scientist reveal occur decide training return.,taken care of
111,314,340,97,Guess child evening camera knowledge kind analysis.,processed
112,681,673,669,Sister city stage activity.,received
113,53,405,723,Degree send crime camera allow human range.,taken care of
114,131,33,584,Network bank loss front check floor.,processed
115,912,212,930,Easy gas few.,received
116,339,924,824,Imagine age specific her enter surface.,received
117,49,674,814,Then impact always time issue could.,received
118,734,258,865,Go choice world travel.,taken care of
119,968,26,790,Radio feeling himself everything vote magazine order.,processed
120,275,949,975,Deep good finally less place.,taken care of
121,247,808,424,Window level management specific play sea see.,received
122,975,816,884,Nearly born professional talk represent race quite alone.,taken care of
123,851,405,398,Page task girl really.,processed
124,526,754,676,Bar cup system everyone.,taken care of
125,201,432,495,Why structure partner now radio.,taken care of
126,497,35,738,You former series them condition or.,received
127,18,206,257,Plant country on class tax.,processed
128,634,833,68,Hard he different hard.,taken care of
129,382,330,485,Most wrong theory sort.,received
130,67,722,2,Field skill work move other executive participant.,processed
131,612,166,274,Born report unit natural run.,processed
132,610,692,589,The quality present business would early four daughter.,processed
133,611,184,337,People because loss heart blood on behavior report.,received
134,431,8,871,Improve top majority grow rest analysis computer.,received
135,713,143,719,Audience real throw decision decision course.,processed
136,454,939,953,Toward all late run approach.,processed
137,490,207,352,Attack population against interesting great center official think.,taken care of
138,125,793,486,Other discover peace.,taken care of
139,201,174,163,Yes rise low there decide hard kitchen.,received
140,809,353,733,Myself word street.,processed
141,23,931,373,Mouth evidence give where physical much young.,processed
142,220,285,136,Impact democratic school off spend.,processed
143,827,594,541,Piece movie short region agreement newspaper despite.,taken care of
