date,day_of_the_week,meal_type,staff_member_id
12/15/25 5:31,Wednesday,Dinner,5
09/28/26 5:56,Thursday,Dinner,174
05/28/26 4:34,Friday,Breakfast,110
09/20/26 17:01,Saturday,Dinner,6
03/12/25 4:51,Sunday,Lunch,192
05/10/24 6:32,Monday,Dinner,122
08/02/25 12:27,Tuesday,Breakfast,189
10/25/24 23:53,Wednesday,Lunch,151
09/14/26 17:36,Thursday,Dinner,72
06/11/26 23:28,Friday,Dinner,200
07/23/25 6:28,Saturday,Breakfast,78
09/25/27 17:39,Sunday,Lunch,82
02/27/25 6:53,Monday,Breakfast,151
05/03/27 4:56,Tuesday,Dinner,151
10/15/24 3:18,Wednesday,Dinner,119
04/17/25 5:16,Thursday,Breakfast,97
11/21/26 5:42,Friday,Dinner,20
01/25/25 5:29,Saturday,Breakfast,87
06/06/26 2:34,Sunday,Breakfast,57
01/25/25 5:07,Monday,Lunch,197
10/02/24 17:48,Tuesday,Breakfast,33
12/06/27 5:34,Wednesday,Lunch,92
09/17/25 6:21,Thursday,Dinner,140
10/13/24 20:16,Friday,Dinner,138
06/09/27 10:40,Saturday,Lunch,84
11/12/24 16:56,Sunday,Breakfast,9
04/22/24 16:52,Monday,Breakfast,43
04/25/26 18:09,Tuesday,Dinner,8
07/24/26 18:57,Wednesday,Lunch,148
09/19/27 8:37,Thursday,Breakfast,118
09/20/27 18:40,Friday,Lunch,154
09/24/25 4:10,Saturday,Lunch,59
04/14/27 17:49,Sunday,Lunch,141
07/18/26 15:50,Monday,Dinner,109
03/01/26 3:20,Tuesday,Dinner,45
11/14/24 14:40,Wednesday,Breakfast,196
11/02/24 11:13,Thursday,Lunch,175
12/24/24 5:30,Friday,Breakfast,125
10/02/25 11:46,Saturday,Dinner,124
04/25/24 2:29,Sunday,Breakfast,50
01/05/27 11:57,Monday,Dinner,20
05/01/26 18:22,Tuesday,Dinner,87
01/15/25 9:55,Wednesday,Breakfast,7
07/10/24 18:35,Thursday,Dinner,139
05/10/24 2:33,Friday,Breakfast,3
04/26/27 9:28,Saturday,Breakfast,77
08/01/25 19:48,Sunday,Breakfast,85
10/02/27 21:32,Monday,Dinner,115
09/10/26 1:58,Tuesday,Dinner,104
02/01/27 0:53,Wednesday,Dinner,111
10/27/26 4:20,Thursday,Lunch,60
12/31/25 11:38,Friday,Breakfast,153
05/27/27 14:05,Saturday,Lunch,65
